planningScheme,total_dwelling_applications,total_permitted_dwellings,council_rejected_dwellings,council_approved_dwellings,council_rejected_dwellings_percent,council_refused_vcat_approved_dwellings,council_rejected_vcat_approved_percent,council_rejected_final_approved_percent
,2,2,0,2,0.0,0,NULL,NULL
Alpine,1786.0,1588.0,35.0,1538.0,1.96,2,5.71,0.0
Alpine Resorts,1317.0,1104.0,2.0,621.0,0.15,0,0.0,0.0
Ararat,520.0,358.0,34.0,338.0,6.54,24,70.59,0.0
Ballarat,17216.0,14224.0,1852.0,11121.0,10.76,31,1.67,88.55
Banyule,23441.0,7889.0,5512.0,4132.0,23.51,24.0,0.44,31.42
Bass Coast,9916.0,8324.0,759,2482.0,7.65,110,0.0,0.0
Baw Baw,4144.0,2859.0,285.0,1697.0,6.88,12.0,4.21,49.82
Bayside,9315.0,8401.0,2739.0,4828.0,29.4,84.0,3.07,76.34
Benalla,310.0,289.0,5.0,266.0,1.61,0.0,0.0,0.0
Boroondara,37428.0,19989.0,14166.0,7652.0,37.85,266,1.88,22.63
Brimbank,33297.0,22262.0,8777.0,18924.0,26.36,5.0,0.06,16.46
Buloke,141.0,121.0,0.0,97.0,0.0,0,NULL,NULL
Campaspe,1530.0,1176.0,107.0,1112.0,6.99,0.0,0.0,0.0
Cardinia,29770.0,21852.0,1042.0,17903.0,3.5,0,0.0,24.38
Casey,46501.0,39896.0,1509,25679.0,3.25,0,0.0,0.0
Central Goldfields,384.0,316.0,14.0,317.0,3.65,0,0.0,0.0
Colac Otway,411.0,240.0,0.0,27.0,0.0,0,NULL,NULL
Colac-Otway,2474.0,2226.0,47.0,2191.0,1.9,0,0.0,0.0
Corangamite,897.0,823.0,8.0,458.0,0.89,0,0.0,0.0
Darebin,103892.0,69699.0,30599.0,37135.0,29.45,145,0.47,76.74
East Gippsland,6487.0,4742.0,49.0,4142.0,0.76,0,0.0,0.0
Frankston,16374.0,10267.0,2928,5625.0,17.88,284,0.0,0.0
French Island and Sandstone Island,22.0,17.0,2,5.0,9.09,0,0.0,0.0
Gannawarra,226.0,209.0,0.0,207.0,0.0,0,NULL,NULL
Glen Eira,49403.0,43992.0,23331,4175.0,47.23,3742,0.0,0.0
Glenelg,925.0,851.0,26,737.0,2.81,2,0.0,0.0
Golden Plains,1489.0,1381.0,32.0,1338.0,2.15,0,0.0,37.5
Greater Bendigo,21774.0,12918.0,554.0,9294.0,2.54,2,0.36,8.66
Greater Dandenong,28860.0,22539.0,5099.0,12864.0,17.67,20,0.39,44.07
Greater Geelong,58639.0,43575.0,3642.0,28177.0,6.21,0,0.0,44.89
Greater Shepparton,4755.0,3664.0,59,2803.0,1.24,0,0.0,0.0
Hepburn,299.0,133.0,0,49,0.0,0,NULL,NULL
Hindmarsh,197.0,190.0,1.0,124.0,0.51,0,0.0,0.0
Hobsons Bay,57871.0,48292.0,10200.0,35879.0,17.63,0,0.0,55.25
Horsham,579.0,493.0,14.0,518.0,2.42,2,14.29,0.0
Hume,18902.0,15642.0,592.0,13310.0,3.13,25,4.22,21.11
Indigo,1068.0,752.0,19.0,673.0,1.78,0,0.0,31.58
Kingston,46958.0,42748.0,4844.0,4667.0,10.32,9,0.19,82.12
Knox,25193.0,18492.0,8912.0,4257.0,35.37,21,0.24,80.49
Latrobe,7467.0,5607.0,323.0,4669.0,4.33,0,0.0,78.95
Loddon,444.0,367.0,6.0,273.0,1.35,0,0.0,0.0
Macedon Ranges,20060.0,12975.0,2809.0,10740.0,14.0,48,1.71,29.26
Manningham,43400.0,33556.0,4593.0,20494.0,10.58,160,3.48,74.27
Mansfield,1451.0,1189.0,32,1065,2.21,0,0.0,0.0
Maribyrnong,64896.0,35770.0,2824.0,32088.0,4.35,18.0,0.64,50.89
Maroondah,17897.0,13025.0,5297,3736.0,29.6,1036,0.0,0.0
Melbourne,418666.0,336439.0,12621.0,213998.0,3.01,0,0.0,44.13
Melton,3944.0,3359.0,135.0,3282.0,3.42,0,0.0,0.0
Merri-bek,86036.0,69274.0,10475.0,40859.0,12.18,30,0.29,62.98
Mildura,1519.0,1250.0,55.0,1135.0,3.62,0.0,0.0,0.0
Mitchell,5305.0,3839.0,279.0,2714.0,5.26,0.0,0.0,4.3
Moira,1939.0,1250.0,10.0,1170.0,0.52,0,0.0,40.0
Monash,41590.0,27406.0,15075.0,8319.0,36.25,1821.0,12.08,76.42
Moonee Valley,58997.0,48185.0,7203,35632.0,12.21,2180,0.0,0.0
Moorabool,2164.0,1353.0,72.0,1230.0,3.33,0.0,0.0,0.0
Mornington Peninsula,17155.0,10142.0,3033.0,7590.0,17.68,30.0,0.99,27.7
Mount Alexander,206.0,138.0,0.0,0.0,0.0,0,NULL,NULL
Moyne,1841.0,1150.0,53.0,1076.0,2.88,0,0.0,0.0
Murrindindi,2362.0,1702.0,62.0,1640.0,2.62,4,6.45,0.0
Nillumbik,10328.0,7497.0,3567.0,4094.0,34.54,179,5.02,57.19
Northern Grampians,807.0,691.0,14.0,751.0,1.73,0,0.0,0.0
Port Phillip,130875.0,106083.0,7376.0,78681.0,5.64,0,0.0,25.92
Port of Melbourne,0.0,0.0,0,0.0,NULL,0,NULL,NULL
Pyrenees,732.0,451.0,25.0,454.0,3.42,0,0.0,8.0
Queenscliffe,473.0,332.0,66.0,175.0,13.95,0.0,0.0,63.64
South Gippsland,3842.0,2399.0,1085.0,1948.0,28.24,10,0.92,2.4
Southern Grampians,122.0,109.0,0.0,109.0,0.0,0,NULL,NULL
Stonnington,66052.0,52188.0,14653.0,15275.0,22.18,605,4.13,55.47
Strathbogie,4361.0,3000.0,54,1645.0,1.24,0,0.0,0.0
