date,sa2_code,sa2_name,property_type,median,geometric_mean,arithmetic_mean,sua_code,sua_name,gcc_code,gcc_name,state
2024-07-27,101021007,BRAIDWOOD,HOUSE,723150,729258,791878,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101021008,KARABAR,HOUSE,790302,797112,834491,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021008,KARABAR,UNIT,546640,521788,551876,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021009,QUEANBEYAN,HOUSE,826068,829466,870928,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021009,QUEANBEYAN,UNIT,468346,451507,487079,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021010,QUEANBEYAN - EAST,HOUSE,948399,959453,1034053,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021010,QUEANBEYAN - EAST,UNIT,449291,427097,471590,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021012,QUEANBEYAN WEST - JERRABOMBERRA,HOUSE,1088501,1104999,1177696,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021012,QUEANBEYAN WEST - JERRABOMBERRA,UNIT,652854,644417,681706,8001,CANBERRA - QUEANBEYAN,1RNSW,REST OF NSW,NSW
2024-07-27,101021610,GOOGONG,HOUSE,1031361,1021190,1060347,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101021610,GOOGONG,UNIT,655351,634180,658505,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101021611,QUEANBEYAN SURROUNDS,HOUSE,1010805,983829,1098346,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101031013,BOMBALA,HOUSE,343061,343428,371212,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101031014,COOMA,HOUSE,494239,500703,531595,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101031015,COOMA SURROUNDS,HOUSE,529905,527387,581737,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101031016,JINDABYNE - BERRIDALE,HOUSE,900876,890944,1019001,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101031016,JINDABYNE - BERRIDALE,UNIT,674100,668764,750251,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041017,BATEMANS BAY,HOUSE,784510,802932,863329,1004,BATEMANS BAY,1RNSW,REST OF NSW,NSW
2024-07-27,101041017,BATEMANS BAY,UNIT,574797,581015,633853,1004,BATEMANS BAY,1RNSW,REST OF NSW,NSW
2024-07-27,101041018,BATEMANS BAY - SOUTH,HOUSE,853568,879752,957172,1004,BATEMANS BAY,1RNSW,REST OF NSW,NSW
2024-07-27,101041018,BATEMANS BAY - SOUTH,UNIT,588768,587686,647691,1004,BATEMANS BAY,1RNSW,REST OF NSW,NSW
2024-07-27,101041019,BEGA - TATHRA,HOUSE,676911,699091,760079,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041019,BEGA - TATHRA,UNIT,481612,484936,524975,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041020,BEGA-EDEN HINTERLAND,HOUSE,687666,690995,748584,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041021,BROULEE - TOMAKIN,HOUSE,993736,1024454,1107916,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041021,BROULEE - TOMAKIN,UNIT,692035,698114,756191,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041023,EDEN,HOUSE,724187,720274,772883,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041023,EDEN,UNIT,490614,488329,532907,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041024,EUROBODALLA HINTERLAND,HOUSE,883197,898448,990953,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041025,MERIMBULA - TURA BEACH,HOUSE,924033,940916,1015089,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041025,MERIMBULA - TURA BEACH,UNIT,540084,541791,594483,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041026,MORUYA - TUROSS HEAD,HOUSE,785867,800859,857062,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041026,MORUYA - TUROSS HEAD,UNIT,508033,507639,543904,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041027,NAROOMA - BERMAGUI,HOUSE,831170,855924,932065,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101041027,NAROOMA - BERMAGUI,UNIT,512251,511701,572380,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101051539,GOULBURN,HOUSE,606666,613836,649680,1014,GOULBURN,1RNSW,REST OF NSW,NSW
2024-07-27,101051539,GOULBURN,UNIT,437784,435343,467166,1014,GOULBURN,1RNSW,REST OF NSW,NSW
2024-07-27,101051540,GOULBURN SURROUNDS,HOUSE,689293,707902,799349,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101061541,YASS,HOUSE,735786,750276,801755,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101061542,YASS SURROUNDS,HOUSE,1045762,989234,1145889,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101061543,YOUNG,HOUSE,462286,468303,505059,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101061543,YOUNG,UNIT,348274,350718,373333,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,101061544,YOUNG SURROUNDS,HOUSE,376456,375934,414799,1000,NOT IN ANY SIGNIFICANT URBAN AREA (NSW),1RNSW,REST OF NSW,NSW
2024-07-27,102011028,AVOCA BEACH - COPACABANA,HOUSE,1632351,1664150,1784576,1010,CENTRAL COAST,1GSYD,GREATER SYDNEY,NSW
2024-07-27,102011028,AVOCA BEACH - COPACABANA,UNIT,1171094,1192479,1287799,1010,CENTRAL COAST,1GSYD,GREATER SYDNEY,NSW
2024-07-27,102011029,BOX HEAD - MACMASTERS BEACH,HOUSE,1478909,1502982,1643687,1010,CENTRAL COAST,1GSYD,GREATER SYDNEY,NSW
2024-07-27,102011031,ERINA - GREEN POINT,HOUSE,1256330,1289881,1383829,1010,CENTRAL COAST,1GSYD,GREATER SYDNEY,NSW
